"['Almacen A', 47]","['Almacen B', 29]","['Almacen C', 13]","['Almacen D', 28]","['Almacen E', 48]"
"['Almacen A', 29]","['Almacen B', 39]","['Almacen C', 34]","['Almacen D', 29]","['Almacen E', 26]"
"['Almacen A', 9]","['Almacen B', 48]","['Almacen C', 42]","['Almacen D', 40]","['Almacen E', 2]"
"['Almacen A', 47]","['Almacen B', 14]","['Almacen C', 36]","['Almacen D', 38]","['Almacen E', 41]"
"['Almacen A', 9]","['Almacen B', 16]","['Almacen C', 24]","['Almacen D', 24]","['Almacen E', 18]"
"['Almacen A', 12]","['Almacen B', 45]","['Almacen C', 1]","['Almacen D', 6]","['Almacen E', 39]"
"['Almacen A', 17]","['Almacen B', 23]","['Almacen C', 3]","['Almacen D', 22]","['Almacen E', 23]"
"['Almacen A', 15]","['Almacen B', 36]","['Almacen C', 18]","['Almacen D', 29]","['Almacen E', 46]"
"['Almacen A', 38]","['Almacen B', 27]","['Almacen C', 41]","['Almacen D', 44]","['Almacen E', 45]"
"['Almacen A', 21]","['Almacen B', 32]","['Almacen C', 38]","['Almacen D', 40]","['Almacen E', 25]"
"['Almacen A', 34]","['Almacen B', 14]","['Almacen C', 38]","['Almacen D', 45]","['Almacen E', 14]"
