"['Almacen A', 11]","['Almacen B', 36]","['Almacen C', 19]","['Almacen D', 47]","['Almacen E', 12]"
"['Almacen A', 34]","['Almacen B', 27]","['Almacen C', 46]","['Almacen D', 5]","['Almacen E', 38]"
"['Almacen A', 30]","['Almacen B', 10]","['Almacen C', 42]","['Almacen D', 27]","['Almacen E', 48]"
"['Almacen A', 39]","['Almacen B', 34]","['Almacen C', 39]","['Almacen D', 5]","['Almacen E', 11]"
"['Almacen A', 25]","['Almacen B', 36]","['Almacen C', 45]","['Almacen D', 2]","['Almacen E', 31]"
"['Almacen A', 35]","['Almacen B', 31]","['Almacen C', 7]","['Almacen D', 18]","['Almacen E', 11]"
"['Almacen A', 5]","['Almacen B', 46]","['Almacen C', 19]","['Almacen D', 32]","['Almacen E', 25]"
"['Almacen A', 4]","['Almacen B', 34]","['Almacen C', 37]","['Almacen D', 25]","['Almacen E', 6]"
"['Almacen A', 13]","['Almacen B', 6]","['Almacen C', 42]","['Almacen D', 33]","['Almacen E', 39]"
"['Almacen A', 9]","['Almacen B', 18]","['Almacen C', 28]","['Almacen D', 38]","['Almacen E', 1]"
"['Almacen A', 12]","['Almacen B', 10]","['Almacen C', 41]","['Almacen D', 33]","['Almacen E', 39]"
"['Almacen A', 9]","['Almacen B', 31]","['Almacen C', 22]","['Almacen D', 49]","['Almacen E', 32]"
"['Almacen A', 28]","['Almacen B', 25]","['Almacen C', 10]","['Almacen D', 19]","['Almacen E', 35]"
