"['Almacen A', 33]","['Almacen B', 38]","['Almacen C', 14]","['Almacen D', 48]","['Almacen E', 29]"
"['Almacen A', 42]","['Almacen B', 35]","['Almacen C', 20]","['Almacen D', 34]","['Almacen E', 4]"
"['Almacen A', 5]","['Almacen B', 33]","['Almacen C', 7]","['Almacen D', 2]","['Almacen E', 16]"
"['Almacen A', 29]","['Almacen B', 19]","['Almacen C', 26]","['Almacen D', 46]","['Almacen E', 25]"
"['Almacen A', 12]","['Almacen B', 44]","['Almacen C', 6]","['Almacen D', 32]","['Almacen E', 7]"
"['Almacen A', 4]","['Almacen B', 8]","['Almacen C', 18]","['Almacen D', 2]","['Almacen E', 20]"
"['Almacen A', 2]","['Almacen B', 27]","['Almacen C', 30]","['Almacen D', 16]","['Almacen E', 35]"
"['Almacen A', 19]","['Almacen B', 12]","['Almacen C', 41]","['Almacen D', 23]","['Almacen E', 9]"
"['Almacen A', 15]","['Almacen B', 10]","['Almacen C', 13]","['Almacen D', 11]","['Almacen E', 17]"
"['Almacen A', 31]","['Almacen B', 33]","['Almacen C', 11]","['Almacen D', 32]","['Almacen E', 19]"
"['Almacen A', 18]","['Almacen B', 27]","['Almacen C', 18]","['Almacen D', 32]","['Almacen E', 9]"
"['Almacen A', 29]","['Almacen B', 19]","['Almacen C', 25]","['Almacen D', 47]","['Almacen E', 4]"
"['Almacen A', 25]","['Almacen B', 43]","['Almacen C', 47]","['Almacen D', 33]","['Almacen E', 33]"
"['Almacen A', 35]","['Almacen B', 1]","['Almacen C', 35]","['Almacen D', 45]","['Almacen E', 34]"
"['Almacen A', 19]","['Almacen B', 1]","['Almacen C', 13]","['Almacen D', 7]","['Almacen E', 36]"
"['Almacen A', 20]","['Almacen B', 38]","['Almacen C', 27]","['Almacen D', 42]","['Almacen E', 15]"
"['Almacen A', 46]","['Almacen B', 14]","['Almacen C', 15]","['Almacen D', 20]","['Almacen E', 11]"
