"['Almacen A', 33]","['Almacen B', 15]","['Almacen C', 18]","['Almacen D', 38]","['Almacen E', 24]"
"['Almacen A', 15]","['Almacen B', 28]","['Almacen C', 17]","['Almacen D', 25]","['Almacen E', 24]"
"['Almacen A', 13]","['Almacen B', 46]","['Almacen C', 34]","['Almacen D', 35]","['Almacen E', 29]"
"['Almacen A', 17]","['Almacen B', 17]","['Almacen C', 24]","['Almacen D', 25]","['Almacen E', 45]"
"['Almacen A', 2]","['Almacen B', 48]","['Almacen C', 38]","['Almacen D', 10]","['Almacen E', 41]"
"['Almacen A', 9]","['Almacen B', 13]","['Almacen C', 33]","['Almacen D', 30]","['Almacen E', 9]"
"['Almacen A', 14]","['Almacen B', 30]","['Almacen C', 37]","['Almacen D', 16]","['Almacen E', 4]"
"['Almacen A', 14]","['Almacen B', 18]","['Almacen C', 47]","['Almacen D', 16]","['Almacen E', 47]"
"['Almacen A', 44]","['Almacen B', 11]","['Almacen C', 46]","['Almacen D', 5]","['Almacen E', 8]"
"['Almacen A', 30]","['Almacen B', 36]","['Almacen C', 45]","['Almacen D', 27]","['Almacen E', 4]"
"['Almacen A', 22]","['Almacen B', 11]","['Almacen C', 23]","['Almacen D', 46]","['Almacen E', 42]"
"['Almacen A', 1]","['Almacen B', 12]","['Almacen C', 34]","['Almacen D', 47]","['Almacen E', 39]"
"['Almacen A', 38]","['Almacen B', 5]","['Almacen C', 49]","['Almacen D', 41]","['Almacen E', 31]"
