"['Almacen A', 41]","['Almacen B', 38]","['Almacen C', 10]","['Almacen D', 22]","['Almacen E', 21]"
"['Almacen A', 37]","['Almacen B', 35]","['Almacen C', 9]","['Almacen D', 45]","['Almacen E', 20]"
"['Almacen A', 24]","['Almacen B', 36]","['Almacen C', 2]","['Almacen D', 28]","['Almacen E', 47]"
"['Almacen A', 38]","['Almacen B', 26]","['Almacen C', 41]","['Almacen D', 44]","['Almacen E', 3]"
"['Almacen A', 28]","['Almacen B', 11]","['Almacen C', 34]","['Almacen D', 33]","['Almacen E', 7]"
"['Almacen A', 38]","['Almacen B', 11]","['Almacen C', 7]","['Almacen D', 43]","['Almacen E', 36]"
"['Almacen A', 36]","['Almacen B', 49]","['Almacen C', 21]","['Almacen D', 24]","['Almacen E', 22]"
"['Almacen A', 40]","['Almacen B', 34]","['Almacen C', 12]","['Almacen D', 41]","['Almacen E', 24]"
"['Almacen A', 36]","['Almacen B', 39]","['Almacen C', 19]","['Almacen D', 9]","['Almacen E', 2]"
"['Almacen A', 27]","['Almacen B', 25]","['Almacen C', 7]","['Almacen D', 41]","['Almacen E', 4]"
"['Almacen A', 16]","['Almacen B', 36]","['Almacen C', 4]","['Almacen D', 26]","['Almacen E', 33]"
"['Almacen A', 7]","['Almacen B', 1]","['Almacen C', 25]","['Almacen D', 20]","['Almacen E', 15]"
"['Almacen A', 27]","['Almacen B', 4]","['Almacen C', 48]","['Almacen D', 13]","['Almacen E', 46]"
"['Almacen A', 34]","['Almacen B', 11]","['Almacen C', 24]","['Almacen D', 15]","['Almacen E', 12]"
"['Almacen A', 44]","['Almacen B', 46]","['Almacen C', 48]","['Almacen D', 13]","['Almacen E', 15]"
