"['Almacen A', 31]","['Almacen B', 28]","['Almacen C', 13]","['Almacen D', 3]","['Almacen E', 9]"
"['Almacen A', 31]","['Almacen B', 18]","['Almacen C', 48]","['Almacen D', 36]","['Almacen E', 28]"
"['Almacen A', 22]","['Almacen B', 42]","['Almacen C', 44]","['Almacen D', 10]","['Almacen E', 35]"
"['Almacen A', 41]","['Almacen B', 20]","['Almacen C', 1]","['Almacen D', 36]","['Almacen E', 47]"
"['Almacen A', 17]","['Almacen B', 10]","['Almacen C', 18]","['Almacen D', 12]","['Almacen E', 44]"
"['Almacen A', 26]","['Almacen B', 18]","['Almacen C', 35]","['Almacen D', 35]","['Almacen E', 3]"
"['Almacen A', 28]","['Almacen B', 3]","['Almacen C', 18]","['Almacen D', 29]","['Almacen E', 36]"
"['Almacen A', 31]","['Almacen B', 42]","['Almacen C', 2]","['Almacen D', 37]","['Almacen E', 23]"
"['Almacen A', 8]","['Almacen B', 26]","['Almacen C', 13]","['Almacen D', 18]","['Almacen E', 49]"
"['Almacen A', 41]","['Almacen B', 32]","['Almacen C', 44]","['Almacen D', 28]","['Almacen E', 38]"
"['Almacen A', 40]","['Almacen B', 25]","['Almacen C', 6]","['Almacen D', 38]","['Almacen E', 40]"
"['Almacen A', 18]","['Almacen B', 40]","['Almacen C', 47]","['Almacen D', 18]","['Almacen E', 42]"
"['Almacen A', 11]","['Almacen B', 4]","['Almacen C', 1]","['Almacen D', 3]","['Almacen E', 7]"
"['Almacen A', 36]","['Almacen B', 23]","['Almacen C', 21]","['Almacen D', 3]","['Almacen E', 4]"
"['Almacen A', 10]","['Almacen B', 31]","['Almacen C', 34]","['Almacen D', 29]","['Almacen E', 38]"
"['Almacen A', 23]","['Almacen B', 18]","['Almacen C', 2]","['Almacen D', 38]","['Almacen E', 6]"
